Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R52        RESC2012N             4940mil   1614.173mil       4940mil   1614.172mil   4904.567mil   1614.173mil  T        360.00 Res3           
R53        RESC2012N             4390mil   1354.172mil       4390mil   1354.172mil   4354.567mil   1354.172mil  T        360.00 Res3           
R54        RESC2012N             4820mil   1714.171mil       4820mil   1714.172mil       4820mil   1749.604mil  T        270.00 Res3           
R55        RESC2012N             5160mil   1994.172mil       5160mil   1994.172mil   5195.433mil   1994.172mil  T        180.00 Res3           
R56        RESC2012N             5160mil   1924.172mil       5160mil   1924.172mil   5124.567mil   1924.172mil  T        360.00 Res3           
R57        RESC2012N             6580mil   1814.172mil       6580mil   1814.172mil   6615.434mil   1814.172mil  T        180.00 Res3           
R58        RESC2012N             6700mil   1754.172mil       6700mil   1754.172mil       6700mil   1718.738mil  T         90.00 Res3           
R59        RESC2012N             6600mil   1894.172mil       6600mil   1894.172mil   6635.434mil   1894.172mil  T        180.00 Res3           
R60        RESC2012N             6780mil   1814.172mil       6780mil   1814.172mil       6780mil   1778.738mil  T         90.00 Res3           
R61        RESC2012N         6167.086mil   1477.085mil   6167.087mil   1477.085mil   6167.086mil   1441.652mil  T         90.00 Res3           
R62        RESC2012N         6167.086mil   1617.085mil   6167.087mil   1617.085mil   6167.086mil   1581.652mil  T         90.00 Res3           
R63        RESC2012N             5360mil   1374.172mil       5360mil   1374.172mil   5395.433mil   1374.172mil  T        180.00 Res3           
R64        RESC2012N             5220mil   1374.172mil       5220mil   1374.172mil   5255.433mil   1374.172mil  T        180.00 Res3           
R65        RESC2012N             4380mil   3199.172mil       4380mil   3199.172mil       4380mil   3163.738mil  T         90.00 Res3           
U1         AT91SAM9G20-CU        5900mil   2294.172mil       5900mil   2294.172mil   6151.968mil    2546.14mil  T        270.00 AT91SAM9G20B-CU
U2         TSQFP50P900X900-48L       4560mil   1894.172mil       4560mil   1894.172mil   4401.536mil    2002.44mil  T        360.00 KSZ8041TL      
U3         TSSOP50P2000-48AN       4640mil   2854.172mil       4640mil   2854.172mil   4262.048mil    3080.55mil  T        360.00 Micron MT29FxGxxAxxDAxx
U4         TSOP2-54_N            7560mil   1754.171mil       7560mil   1754.172mil   7969.448mil   1976.612mil  T        270.00 MT48LCxxMxxA2x-xx
U5         TSOP2-54_N            7270mil   2614.171mil       7270mil   2614.172mil   7679.448mil   2836.612mil  T        270.00 MT48LCxxMxxA2x-xx
U6         TSSOP50P490-10AN   6417.087mil   1494.172mil   6417.087mil   1494.172mil   6497.796mil   1454.802mil  T        180.00 TPS60500       
U7         TSSOP50P490-10AN       5345mil   1598.306mil       5345mil   1598.306mil   5425.708mil   1558.936mil  T        180.00 TPS60500       
U8         SOT353-5AN        4770.004mil   3289.176mil   4770.004mil   3289.176mil    4729.65mil   3314.766mil  T        360.00 TPS717xx       
Y1         HC49/4H_SMX           4320mil   1494.172mil       4320mil   1494.172mil   4132.992mil   1494.172mil  T        360.00 XTAL           
Y2         HC49/4H_SMX           5820mil   2849.172mil       5820mil   2849.172mil   5632.992mil   2849.172mil  T        360.00 18.432 MHz     
R80        RESC2012N             4500mil   2314.172mil       4500mil   2314.172mil       4500mil   2349.605mil  T        270.00 Res3           
R81        RESC2012N             4580mil   2294.172mil       4580mil   2294.172mil       4580mil   2258.739mil  T         90.00 Res3           
U9         SOIC127P600-8N        5260mil   2134.172mil       5260mil   2134.172mil   5165.512mil   2209.172mil  T        360.00 SST25VF032B    
C61        CAPC3216N             4100mil   3034.172mil       4100mil   3034.172mil       4100mil   3091.259mil  T        270.00 Cap            
C62        CAPC3216N             4280mil   2454.172mil       4280mil   2454.172mil       4280mil   2397.085mil  T         90.00 Cap            
C63        CAPC3216N             3940mil   1594.172mil       3940mil   1594.172mil   3997.087mil   1594.172mil  T        180.00 Cap            
C64        CAPC3216N             3715mil   1834.172mil       3715mil   1834.172mil   3772.087mil   1834.172mil  T        180.00 Cap            
R82        RESC2012N             5380mil   2324.172mil       5380mil   2324.172mil       5380mil   2359.605mil  T        270.00 Res3           
R83        RESC2012N             4220mil   1674.172mil       4220mil   1674.172mil       4220mil   1709.605mil  T        270.00 Res3           
R84        RESC2012N             4080mil   1674.172mil       4080mil   1674.172mil       4080mil   1709.605mil  T        270.00 Res3           
R85        RESC2012N             3975mil   1714.172mil       3975mil   1714.172mil       3975mil   1749.605mil  T        270.00 Res3           
R86        RESC2012N             3880mil   1714.172mil       3880mil   1714.172mil       3880mil   1749.605mil  T        270.00 Res3           

